11 97
1 2 70
2 3 15
3 4 69
4 5 14
5 6 10
6 7 100
7 8 10
8 9 8
9 10 72
10 11 39
9 4 45
5 1 92
11 5 28
1 6 48
5 10 68
5 9 53
2 7 1
2 5 6
4 6 9
3 1 31
11 1 15
3 7 21
8 3 77
4 11 36
7 4 10
10 2 13
1 9 17
5 2 67
1 4 87
2 10 98
9 1 36
7 1 25
1 10 38
10 6 43
3 8 17
10 1 11
4 2 42
1 5 50
5 8 14
7 2 71
6 10 49
8 4 45
11 8 31
2 4 50
5 11 16
7 9 51
5 3 24
8 10 10
11 6 92
2 11 2
8 1 24
9 8 76
9 11 99
1 11 14
6 11 19
10 7 96
6 2 31
10 5 33
8 6 42
8 2 4
9 3 11
4 7 40
10 3 47
5 4 88
3 9 8
6 5 26
6 8 94
7 6 39
9 2 34
6 9 74
11 3 94
1 7 27
7 10 99
4 9 54
7 5 97
2 9 32
6 4 43
3 5 35
3 10 75
10 8 71
3 2 31
11 9 95
9 6 67
11 2 53
1 3 85
4 8 42
3 11 4
2 1 9
11 4 25
8 11 34
10 4 2
7 3 80
6 1 57
4 3 47
5 7 71
8 7 49
3 6 85
