442 1859
1 441 6
2 434 91
2 426 51
2 406 21
2 336 63
2 317 78
2 396 33
2 238 87
2 247 69
2 348 15
2 374 39
2 440 54
2 376 84
2 436 88
2 391 72
3 358 71
3 355 13
3 302 95
3 372 99
3 304 46
4 235 89
4 354 96
4 313 5
4 250 84
4 271 96
4 377 26
4 436 18
4 370 1
4 422 82
4 319 83
4 296 52
4 256 37
4 328 14
4 332 59
5 225 3
5 326 69
5 353 42
5 368 61
5 243 68
5 224 20
5 232 57
5 331 33
5 332 45
6 315 46
6 411 64
6 307 70
6 305 14
6 227 72
6 225 93
7 359 96
7 435 86
7 420 21
7 294 23
7 314 19
7 307 11
8 240 9
8 245 86
8 320 66
8 368 24
9 365 37
9 341 60
9 330 33
9 280 6
10 354 86
10 250 62
10 391 2
10 225 40
10 283 26
10 422 86
10 224 3
10 244 30
10 424 51
10 392 28
10 398 79
10 408 88
11 286 56
11 416 52
11 315 58
11 442 21
11 340 27
11 336 12
11 355 45
11 268 8
11 353 85
12 307 96
12 349 31
13 347 15
13 307 94
13 277 48
13 410 93
13 402 82
13 428 75
13 353 37
13 363 31
13 393 60
13 419 25
13 293 27
13 297 58
13 234 83
13 417 63
14 333 30
14 358 88
14 312 86
14 275 90
15 255 66
15 394 36
15 403 93
15 366 44
15 223 31
15 436 54
15 368 57
15 340 29
16 232 46
17 319 97
17 285 25
17 296 15
17 360 25
17 409 20
17 235 90
18 412 31
18 277 87
18 430 46
18 335 77
18 440 92
18 260 21
18 370 54
18 264 14
18 323 96
18 380 20
18 439 64
18 242 30
18 325 93
18 437 75
18 295 57
19 314 97
19 355 24
19 316 58
19 266 17
19 401 20
19 434 61
19 427 38
20 392 71
20 409 64
21 416 93
21 233 37
21 381 54
21 278 30
21 305 40
21 319 7
21 369 45
21 342 99
21 441 8
21 351 68
21 363 52
21 397 75
21 364 83
21 438 11
22 335 94
22 431 69
22 344 13
22 423 22
22 349 97
22 311 24
22 246 66
22 404 25
22 425 63
22 227 54
22 315 88
22 412 99
22 252 2
23 292 56
23 407 8
23 385 1
23 252 29
23 289 93
23 396 17
23 323 82
23 356 83
23 365 56
23 398 66
23 317 25
23 296 74
24 393 90
24 401 74
24 395 65
24 270 23
24 222 25
24 321 23
24 439 81
24 342 14
24 411 13
24 281 64
24 324 47
24 392 7
24 272 39
24 398 40
25 433 47
25 350 97
25 338 69
25 364 73
26 386 1
26 421 41
26 366 40
26 296 5
26 263 88
26 370 91
26 392 7
26 329 39
26 431 59
26 280 59
26 393 2
27 392 27
27 430 39
27 254 4
27 269 87
27 362 48
27 364 8
27 252 50
27 321 1
27 296 3
27 286 38
27 416 31
27 413 7
27 408 85
27 226 89
27 423 92
28 272 60
28 366 93
28 237 89
28 282 53
28 395 69
28 369 84
28 252 15
28 415 82
28 256 66
28 320 84
28 228 34
28 294 85
28 372 85
28 332 74
28 354 16
29 330 85
29 442 64
29 285 22
29 366 13
29 226 85
29 292 26
29 429 44
29 308 20
30 296 91
30 321 33
30 226 96
31 331 97
31 259 66
31 390 35
31 405 69
31 279 34
31 287 54
31 265 16
31 333 96
31 263 31
31 245 14
31 400 50
31 281 6
32 264 90
33 400 17
33 391 13
33 406 56
33 375 37
33 284 4
33 305 15
33 299 22
33 226 64
33 360 27
33 285 87
34 295 52
34 251 67
34 417 85
34 351 73
35 373 4
35 410 67
35 303 17
35 431 73
35 412 98
36 410 21
36 274 73
36 289 87
36 310 49
36 440 47
36 288 97
36 419 51
36 327 79
36 306 69
37 249 89
37 293 43
37 350 3
37 316 36
37 332 58
37 389 32
37 384 95
37 313 73
37 254 69
37 255 8
37 252 17
37 341 77
37 233 11
37 434 32
37 235 70
38 355 79
38 394 82
38 248 2
38 313 49
38 374 81
38 275 12
38 388 30
38 424 15
38 353 40
39 417 52
39 307 85
39 233 17
39 249 30
39 254 63
39 422 10
40 268 40
40 400 52
40 288 36
40 256 53
41 427 75
41 248 83
41 432 84
41 399 17
41 378 9
41 317 53
41 290 77
41 263 31
41 298 98
41 296 9
41 302 57
