308 1247
1 174 45
1 294 44
1 283 72
1 228 71
1 301 19
2 205 5
2 279 69
2 196 44
2 227 14
2 164 80
2 158 54
3 178 81
3 265 95
3 183 33
3 278 93
3 236 88
3 276 2
3 289 93
3 215 77
3 258 9
4 155 58
4 278 92
4 300 75
4 235 27
4 213 27
4 204 23
4 209 39
4 266 38
4 163 90
4 297 14
4 203 45
4 230 77
5 258 23
5 217 77
5 185 59
5 166 88
5 172 40
5 254 90
5 216 60
5 298 9
5 206 53
5 205 41
5 267 83
5 255 43
5 248 11
5 276 33
6 169 49
6 256 15
6 210 69
6 297 47
6 224 38
6 173 70
6 283 75
6 259 40
6 155 21
6 288 52
6 300 69
7 296 45
7 270 44
7 156 95
7 170 66
7 189 32
7 257 54
7 285 1
7 233 35
8 206 76
8 265 59
8 271 18
8 270 74
8 197 5
8 286 48
9 227 11
9 188 34
9 289 68
9 274 56
9 236 18
9 260 9
9 251 33
9 215 17
9 242 93
9 160 74
10 284 25
10 267 69
10 184 43
10 186 76
10 181 75
10 178 3
10 229 82
10 182 57
10 205 8
10 190 20
10 232 94
10 306 46
11 197 64
11 272 43
11 300 21
11 247 86
11 181 83
11 182 9
11 196 34
11 180 74
11 187 32
11 276 40
11 307 64
12 302 98
12 190 27
12 174 37
13 236 7
13 283 84
13 251 4
13 170 43
13 258 36
13 256 29
13 176 51
13 233 22
13 245 41
13 246 63
14 258 11
14 207 24
14 191 60
14 264 74
14 291 76
14 157 61
14 194 66
14 217 85
14 287 53
14 223 65
14 304 69
14 188 26
15 228 35
15 258 31
15 235 26
15 217 25
15 188 82
15 308 20
15 184 43
15 193 84
15 163 5
15 264 45
15 262 50
15 210 39
16 247 95
16 250 98
16 251 54
16 222 64
16 156 83
16 244 66
16 214 95
16 246 43
16 282 3
16 304 58
17 170 76
17 178 59
18 282 48
18 195 59
18 181 97
18 241 70
18 249 74
18 273 79
18 251 46
18 308 61
18 176 67
18 267 81
18 199 49
19 216 72
19 238 18
19 250 12
19 252 47
19 161 31
19 236 79
19 210 56
19 255 58
20 191 66
20 156 74
20 302 21
20 253 78
20 227 77
20 290 7
20 285 2
20 240 2
20 206 87
20 172 70
20 284 27
20 230 23
21 276 77
21 237 54
21 176 66
21 164 76
21 245 23
21 159 22
21 248 72
22 292 11
22 177 26
22 219 98
22 182 88
22 284 71
22 305 15
22 184 50
22 221 81
23 242 47
24 162 72
24 160 20
24 159 64
24 180 63
24 248 46
24 304 99
24 200 11
24 269 85
24 177 27
24 245 81
24 216 20
24 181 64
25 295 72
25 173 78
25 282 59
25 169 91
25 216 40
25 306 58
25 299 71
25 206 18
25 162 51
25 202 36
25 208 24
25 287 10
26 225 8
26 251 46
26 294 33
26 256 67
26 174 86
26 201 50
26 239 64
26 162 28
26 223 25
27 271 55
27 211 30
27 236 67
27 168 7
27 200 64
