658 2562
1 337 89
1 374 75
1 544 14
1 375 18
1 658 43
1 357 92
1 428 25
1 556 34
1 574 6
1 502 9
1 451 72
1 520 66
1 592 93
2 541 50
2 515 95
2 432 18
2 603 36
2 397 38
2 605 39
2 360 10
3 439 87
3 496 3
3 447 36
3 427 42
3 557 22
3 338 92
3 580 7
3 617 64
3 373 53
3 407 53
3 536 89
3 545 16
3 570 7
3 596 91
4 531 97
4 489 73
4 439 65
4 360 75
4 608 28
4 592 3
4 631 4
4 449 33
4 621 50
4 434 10
4 602 87
5 658 82
5 610 53
5 588 97
6 357 73
6 594 45
6 378 30
6 587 63
6 560 8
6 458 65
6 419 7
6 634 87
6 615 39
6 374 72
7 377 95
7 394 50
7 629 86
7 578 60
7 499 80
7 402 53
7 566 20
7 495 56
7 658 59
7 360 3
7 506 52
7 524 23
7 657 52
7 465 60
7 453 10
8 420 37
8 560 7
8 373 54
9 607 52
9 634 27
9 380 54
9 635 39
9 547 39
9 334 9
10 360 91
10 350 9
10 384 23
10 652 26
10 463 9
10 586 42
10 465 85
10 574 11
10 370 34
10 631 93
10 570 80
10 546 78
10 374 17
11 570 43
11 656 52
11 418 97
11 512 89
11 588 31
12 335 24
12 354 51
12 544 46
12 385 50
12 415 92
13 365 69
13 401 54
13 343 71
13 653 58
13 360 52
13 495 35
13 430 12
13 535 19
13 474 56
13 603 11
13 367 77
13 373 69
14 522 72
14 550 30
14 413 94
14 422 48
14 509 17
14 343 17
14 446 41
14 411 89
14 514 59
14 393 80
14 383 32
14 547 21
14 365 63
15 535 3
15 355 55
15 655 37
15 499 23
16 377 16
16 338 87
16 430 62
16 502 42
16 356 17
16 637 53
16 540 71
16 381 38
16 485 84
16 497 34
16 607 76
16 625 23
16 618 75
17 575 24
17 396 67
17 533 39
18 590 74
18 364 80
18 371 68
18 628 95
18 496 83
18 509 7
18 338 35
18 619 6
18 435 61
18 654 33
18 419 89
18 554 23
19 478 51
19 433 94
19 429 50
19 654 80
19 587 75
19 421 95
19 378 41
19 386 23
19 443 16
20 621 27
20 619 55
20 572 76
20 566 24
20 426 10
20 423 33
20 502 83
20 448 65
20 338 67
20 332 84
20 432 57
20 394 65
20 465 81
20 555 89
21 500 23
21 579 87
21 493 42
21 395 39
22 544 9
22 620 53
22 590 57
22 645 81
22 458 83
22 522 64
22 519 49
22 379 87
22 646 89
22 633 84
23 524 95
23 476 47
23 394 79
23 408 83
23 338 44
23 583 24
23 602 47
23 570 25
24 592 91
24 535 72
24 410 73
24 551 74
24 407 52
24 413 40
24 627 93
24 532 49
24 575 33
25 500 58
25 543 69
25 650 6
25 571 27
26 330 93
26 359 33
26 586 56
26 437 32
27 562 70
27 452 58
27 460 46
27 364 72
27 506 13
27 567 74
27 576 23
27 400 43
27 476 98
28 582 69
28 528 20
28 598 5
28 338 73
28 539 21
28 368 58
28 567 42
28 374 97
28 553 95
28 646 70
28 463 66
28 560 35
28 462 1
28 600 17
29 564 87
29 640 34
29 407 31
29 638 91
29 656 18
29 494 84
29 336 57
29 622 3
29 469 15
29 405 24
30 374 51
30 499 74
30 496 65
31 385 1
31 505 52
31 498 79
31 523 97
31 619 51
31 451 31
31 632 53
31 404 71
31 450 74
31 649 45
31 348 59
32 340 37
32 575 11
32 648 64
33 560 30
33 565 97
33 363 63
33 342 90
33 419 97
33 398 69
33 421 41
33 579 59
33 472 38
33 575 81
33 564 83
34 592 5
34 492 59
34 653 42
34 398 66
34 537 5
34 655 80
35 617 23
35 391 47
35 598 93
35 639 41
35 411 45
35 591 17
35 565 72
35 616 15
35 647 4
35 637 48
35 431 46
35 655 13
36 480 89
36 504 72
36 475 54
37 466 8
37 484 21
37 467 28
37 645 6
37 413 51
37 578 33
37 380 54
38 545 5
38 503 24
38 471 42
39 655 15
39 609 98
39 514 15
39 343 46
39 643 72
39 361 11
39 498 5
39 620 69
39 584 64
39 610 37
39 409 90
39 512 18
39 441 23
39 432 84
40 371 81
40 578 91
40 517 75
40 636 93
40 418 22
40 347 95
40 514 47
40 590 49
40 383 9
40 603 29
40 533 97
40 471 39
41 595 15
41 525 61
41 417 54
41 423 47
41 330 69
41 651 42
41 358 69
41 575 99
41 641 31
41 392 19
42 336 58
42 513 69
42 542 32
42 514 37
42 404 42
42 613 43
43 640 26
43 636 36
43 339 64
43 454 89
43 357 97
43 526 43
43 383 25
43 598 60
43 470 58
43 348 60
44 485 83
44 369 29
44 487 94
44 356 65
44 402 89
44 648 85
45 650 49
45 419 33
45 440 96
45 439 43
46 454 16
46 595 17
46 517 68
46 411 48
46 493 49
46 630 23
46 406 53
46 637 62
46 562 33
46 399 6
46 551 62
47 538 84
47 471 53
47 497 4
47 550 24
47 370 73
47 390 65
47 511 8
47 340 41
48 486 71
48 353 37
48 620 94
48 639 89
48 440 9
48 553 59
49 413 40
49 524 5
49 423 65
49 531 29
49 394 73
50 517 21
50 562 98
50 338 40
50 630 98
50 435 28
50 498 9
50 600 68
50 483 16
50 581 41
50 629 74
51 520 90
51 522 62
51 507 27
51 576 52
51 430 97
51 378 98
51 380 76
51 587 91
51 561 42
51 340 17
51 439 20
51 431 41
51 556 92
52 382 26
52 407 6
52 636 22
52 554 28
52 367 59
53 350 89
53 429 10
53 653 18
53 612 87
53 594 34
53 541 60
53 398 85
53 614 64
53 342 44
53 620 54
53 563 76
53 382 15
53 355 5
54 576 49
54 376 67
54 511 66
54 641 80
54 476 75
54 373 67
55 491 37
55 534 12
55 407 60
55 460 64
55 441 14
55 530 23
55 382 13
55 421 53
55 622 79
55 587 6
55 544 15
55 653 92
55 574 7
56 528 81
56 553 9
56 641 27
56 547 32
56 638 56
57 574 4
57 493 28
57 378 66
57 535 67
58 640 33
58 464 55
58 361 22
58 455 15
58 571 28
58 549 12
58 590 70
58 406 74
58 597 26
58 449 45
59 464 31
59 430 54
59 527 90
59 562 48
59 580 29
59 434 46
59 362 5
59 348 64
59 388 21
59 440 8
60 378 6
60 481 59
61 424 30
61 497 61
61 608 70
61 358 33
61 657 96
61 485 23
61 531 35
61 411 10
61 570 77
61 548 47
62 389 2
62 497 70
62 346 78
62 653 6
62 393 42
62 482 99
62 409 95
62 348 1
62 507 83
62 447 6
62 440 80
63 652 70
63 388 62
63 346 52
63 516 91
63 649 61
63 419 97
63 613 86
63 416 52
63 538 39
64 476 8
64 382 59
64 641 61
64 377 74
64 598 26
64 623 60
64 333 45
64 519 95
64 638 16
64 644 48
64 521 39
65 345 16
65 354 67
65 654 84
65 602 53
65 533 21
65 628 69
65 463 24
65 351 4
65 636 6
65 386 69
65 417 20
65 365 25
65 599 1
66 345 78
66 421 59
66 480 99
66 593 18
66 490 42
66 510 35
66 570 25
67 601 49
67 410 58
67 449 39
67 543 40
67 445 43
67 345 9
67 454 5
67 586 80
67 460 82
67 535 54
68 450 1
68 330 85
68 491 35
68 654 66
68 476 64
68 409 3
69 405 78
69 564 99
69 498 71
69 654 91
69 553 74
69 341 82
70 484 47
70 646 70
70 620 87
70 368 35
70 374 61
70 483 95
70 340 66
70 356 60
70 475 28
70 411 53
70 573 80
70 482 23
70 649 89
70 513 58
70 447 29
71 379 45
71 585 11
71 540 12
71 563 65
71 478 44
71 467 21
71 512 51
71 425 69
71 334 35
71 514 89
71 374 34
72 335 15
72 360 56
72 606 22
72 516 19
72 438 71
73 619 43
73 358 51
73 493 67
73 548 11
73 415 68
73 382 53
73 450 9
73 424 47
73 514 9
73 410 14
74 652 23
74 418 27
74 592 47
74 616 5
75 449 13
76 343 77
76 437 7
76 510 74
76 346 33
