427 1678
1 263 1
1 229 74
1 299 69
2 270 87
2 410 29
2 304 93
2 398 50
3 389 16
3 381 97
3 289 47
3 401 17
3 361 48
3 324 96
3 374 27
3 413 84
3 243 34
3 275 1
3 301 73
4 391 68
4 375 5
4 390 20
5 265 27
5 378 6
5 315 95
5 229 18
5 298 87
5 294 63
6 254 73
6 415 15
6 313 46
6 219 45
6 357 68
6 303 65
6 312 68
6 218 56
7 265 56
8 299 74
8 316 84
8 422 58
8 276 66
8 272 98
8 327 72
8 361 22
8 381 68
8 425 60
9 418 46
10 282 51
10 336 9
10 394 12
10 219 22
10 246 21
10 416 40
11 286 88
11 308 58
11 279 89
11 249 74
11 413 69
11 262 73
11 318 69
11 231 42
11 324 31
11 359 76
11 271 1
11 291 51
12 276 3
12 289 48
12 288 83
12 295 29
12 416 70
12 319 29
12 344 59
12 297 16
12 263 15
12 424 2
12 227 6
12 365 47
13 336 5
13 306 37
14 235 36
14 309 72
14 256 37
14 419 54
14 251 62
14 387 93
14 290 26
14 223 6
14 222 80
14 344 7
14 271 78
14 280 82
14 397 87
14 341 1
15 236 16
16 262 17
16 312 35
16 230 23
16 354 72
16 214 71
16 301 66
16 369 12
16 225 63
16 418 22
16 413 39
16 417 83
16 249 62
16 380 5
16 424 25
16 415 86
17 299 52
17 269 42
17 321 69
17 234 32
18 250 38
18 336 96
18 340 5
18 310 77
18 407 15
18 379 7
19 230 26
19 319 97
19 349 67
19 422 76
19 419 50
19 373 87
20 238 41
20 290 59
20 259 1
20 234 98
20 222 66
20 314 83
20 408 74
20 261 34
20 402 70
20 301 24
20 270 10
20 347 15
20 283 16
21 312 78
22 322 32
22 216 21
22 335 81
22 225 94
22 404 55
22 318 36
23 235 14
23 349 55
23 296 62
23 422 19
24 277 12
24 422 58
24 257 9
24 221 65
24 239 45
24 391 68
24 404 44
25 248 86
25 312 72
25 348 51
26 416 42
26 361 4
26 253 5
26 335 26
26 350 20
26 246 69
26 217 67
26 216 35
27 278 62
28 417 15
28 251 87
28 388 90
28 261 62
28 400 36
28 214 75
28 427 6
28 300 17
29 413 73
29 376 22
30 306 14
30 358 74
30 262 86
30 322 96
30 320 81
30 251 86
30 271 9
30 250 75
30 224 10
31 231 89
31 236 2
31 256 79
31 279 23
31 350 43
31 312 64
32 292 36
32 419 28
32 305 16
32 427 55
32 322 75
32 268 86
32 397 69
32 279 78
33 217 93
33 253 48
33 249 32
33 225 22
33 329 96
33 332 72
33 254 89
33 237 40
33 374 52
33 405 71
34 352 65
34 325 59
34 392 76
34 377 55
34 241 8
34 304 23
34 335 40
35 365 11
35 219 93
36 292 58
36 329 46
36 411 60
36 368 36
36 422 64
36 284 48
36 339 97
36 412 99
36 303 48
37 257 89
37 404 62
37 247 97
37 231 36
37 215 45
37 426 95
38 327 93
38 410 48
38 233 50
38 332 65
38 373 13
38 224 4
38 392 20
38 394 49
38 240 50
38 356 8
38 399 58
38 231 83
38 361 88
39 342 80
39 338 21
39 310 92
39 389 16
39 348 64
39 241 92
39 397 11
39 325 33
39 315 34
40 309 13
41 358 67
41 360 74
41 240 98
41 305 72
41 368 42
41 335 51
41 382 90
41 413 73
41 216 30
41 346 15
42 232 80
42 401 62
42 395 59
42 356 73
42 367 74
42 394 98
42 369 90
42 343 38
43 279 96
43 364 10
43 269 28
43 295 7
43 398 64
43 218 10
43 416 20
43 227 27
43 335 96
43 371 46
44 215 34
44 297 43
44 259 34
44 310 63
44 424 60
45 354 36
45 420 83
45 256 90
45 387 14
45 353 31
45 308 78
45 243 98
45 223 59
45 416 34
45 371 28
45 255 69
46 422 8
46 373 19
46 306 62
46 394 20
46 283 41
46 421 66
46 304 3
46 372 72
46 335 37
46 364 24
46 346 84
46 369 60
46 291 11
47 288 89
47 316 53
47 363 16
47 356 54
47 299 44
48 421 40
48 254 86
48 377 80
48 301 18
48 383 2
48 354 23
48 270 89
48 226 84
48 265 84
48 389 59
48 230 60
49 399 97
49 377 50
49 326 93
50 331 78
50 403 94
50 316 3
50 334 1
50 215 64
50 232 76
50 270 6
50 338 67
51 250 41
51 395 61
51 354 26
51 287 37
51 273 51
52 323 24
52 392 80
52 381 25
52 424 78
52 219 62
52 224 44
53 365 16
53 291 93
53 320 42
53 373 89
53 348 89
53 300 17
53 397 39
53 342 30
53 323 57
53 390 81
54 245 43
54 380 12
54 410 40
54 239 73
54 420 90
54 235 81
54 320 16
54 391 87
54 364 52
54 293 51
54 234 78
54 258 39
54 339 72
54 315 46
55 401 19
55 290 91
55 413 65
55 423 72
55 330 66
55 332 4
55 320 60
55 261 81
55 378 97
55 256 53
55 322 35
55 287 1
56 251 37
56 262 6
56 361 13
56 354 83
56 219 26
56 375 47
56 255 49
56 321 86
56 303 97
56 297 50
57 359 86
57 317 64
57 255 60
57 287 42
57 277 64
57 345 38
57 246 26
57 409 12
57 272 66
57 391 77
57 327 21
57 321 95
57 356 70
57 328 98
58 289 52
58 353 67
58 332 63
58 246 53
58 410 21
59 376 62
59 398 14
59 353 86
59 316 38
59 359 90
59 307 44
59 253 11
60 273 75
60 276 69
60 311 26
60 420 32
60 227 89
60 277 86
60 226 48
60 290 69
60 247 6
60 412 2
60 246 12
60 224 24
60 340 40
61 386 23
61 352 55
62 218 86
62 240 87
62 373 58
62 299 79
62 330 42
62 416 35
62 271 14
62 315 32
62 301 59
62 411 83
62 346 96
63 399 65
63 345 36
63 252 36
63 420 1
63 231 26
63 426 70
63 328 98
63 229 54
63 329 63
64 264 57
64 261 86
64 426 35
64 319 87
64 348 35
64 427 47
64 400 2
64 399 93
64 362 51
64 226 55
65 374 40
66 281 13
66 308 98
66 305 7
66 371 28
66 287 99
66 254 79
66 318 12
66 354 3
66 294 75
67 275 61
67 280 38
67 422 66
67 231 49
67 323 93
67 230 21
67 271 13
67 336 34
67 253 5
67 303 75
67 403 42
67 325 26
67 301 85
68 282 60
69 342 98
69 330 1
69 262 52
69 334 71
69 327 44
70 418 94
70 398 34
71 353 21
71 269 80
71 255 4
71 402 44
71 224 83
71 417 67
71 398 29
71 381 8
72 258 1
72 281 46
72 218 58
73 290 95
73 345 79
73 382 2
73 306 19
73 335 20
73 265 86
73 305 93
73 410 15
73 218 35
73 360 68
73 219 88
73 411 75
74 238 14
74 245 14
74 401 28
74 274 39
74 250 8
74 290 28
74 333 47
74 397 9
74 389 67
74 230 9
74 362 41
74 243 40
74 314 57
75 372 63
76 394 5
76 214 11
76 267 53
76 388 83
77 345 26
77 379 5
77 234 29
78 366 83
78 307 31
78 343 7
78 348 58
78 337 79
78 249 80
78 419 66
78 248 77
78 393 30
79 407 60
79 405 66
79 221 33
79 418 6
79 408 90
79 263 30
79 321 56
79 384 29
79 366 22
79 372 80
79 305 53
80 299 38
80 252 91
80 384 86
80 393 38
80 219 61
80 357 62
80 229 56
80 412 81
80 328 83
80 236 61
80 253 51
80 347 43
81 358 84
81 417 46
81 262 30
81 265 82
81 408 21
81 371 80
81 422 28
81 349 47
81 281 81
81 392 31
82 386 37
82 223 49
82 286 75
82 339 8
82 360 52
82 388 72
83 290 74
84 414 54
84 221 25
85 392 62
85 371 45
85 244 51
85 275 91
85 232 92
85 408 44
85 252 69
86 365 96
86 302 18
86 280 24
86 263 84
86 273 93
86 272 69
86 332 9
86 385 24
86 215 49
86 311 59
86 244 61
86 232 48
87 312 35
87 221 49
87 423 93
87 285 34
87 318 72
87 266 7
88 223 54
88 391 38
88 321 62
88 365 54
88 350 11
88 326 84
88 297 7
88 322 30
88 378 37
88 310 89
88 403 97
89 242 33
89 221 55
89 347 38
89 298 39
89 371 52
89 237 83
89 279 11
89 301 23
89 270 96
89 269 38
89 289 68
90 384 40
90 417 52
90 230 59
90 293 93
90 363 12
90 248 27
90 418 19
90 342 76
90 356 68
90 313 12
91 402 78
91 409 84
91 342 38
91 341 6
91 374 7
91 223 43
91 221 8
91 333 40
91 335 78
91 303 64
91 417 32
92 393 20
92 351 26
92 265 16
92 262 4
92 253 23
93 310 10
93 382 83
93 316 65
93 392 83
93 408 11
93 360 75
93 217 69
93 386 86
93 343 97
93 319 11
93 275 94
93 226 17
94 274 72
94 373 79
94 316 11
94 243 61
94 323 21
94 332 86
94 326 54
94 260 71
94 261 99
94 384 33
94 234 45
95 427 41
95 378 4
95 328 82
95 226 19
95 411 73
95 370 36
96 391 21
96 216 26
96 420 44
96 300 89
96 230 89
96 361 18
96 408 35
