640 2506
1 523 53
1 548 17
1 535 84
1 343 44
1 550 75
1 490 84
1 426 57
1 324 34
1 612 91
1 480 4
1 373 41
1 554 2
1 390 53
1 429 30
2 633 93
2 562 83
2 606 27
2 380 60
2 406 32
2 620 3
2 391 81
2 537 97
2 448 35
2 511 55
2 560 17
3 606 26
3 591 51
3 534 50
3 329 6
3 413 55
3 574 24
3 501 16
3 386 76
3 572 73
3 554 44
3 476 29
4 627 96
4 568 12
4 521 83
4 608 94
4 413 50
4 443 50
4 603 45
4 392 70
4 347 13
4 619 90
4 426 16
4 332 61
5 427 73
6 452 98
6 331 24
6 407 16
6 473 70
6 630 41
6 572 18
6 461 56
6 373 81
6 398 30
6 471 28
6 600 49
6 620 33
6 529 7
6 364 28
6 614 37
7 328 79
7 450 26
7 456 25
7 420 79
7 373 86
7 511 64
7 570 86
7 356 16
7 388 76
7 597 38
7 487 53
7 580 32
8 429 52
8 638 65
8 409 42
8 468 26
8 516 10
8 574 90
8 561 77
8 620 8
8 402 32
8 487 9
8 634 45
8 515 36
8 443 56
9 454 88
9 463 47
9 394 67
9 349 83
9 373 35
9 372 61
9 418 43
10 509 22
10 328 9
10 573 90
10 582 87
10 401 65
10 372 37
10 405 75
10 353 9
10 521 13
11 610 8
11 473 39
11 511 33
12 430 87
13 588 86
13 567 4
13 604 17
14 573 87
14 499 2
14 388 40
14 433 43
14 542 30
14 566 21
14 524 5
15 528 71
15 562 80
15 331 88
15 437 24
15 541 98
15 461 18
15 583 19
16 481 32
16 568 42
16 637 76
16 454 10
16 549 10
16 606 44
16 434 74
16 474 55
16 625 61
16 583 73
16 631 16
16 381 68
16 559 94
16 640 24
16 424 69
17 558 13
17 367 49
17 395 69
17 515 84
17 609 30
17 470 80
17 480 82
18 634 95
18 480 18
18 599 14
18 357 2
18 610 4
18 332 19
18 392 8
18 439 76
18 533 14
18 341 76
18 570 91
18 471 93
18 554 75
19 385 96
19 555 56
19 449 78
19 599 76
19 576 60
19 463 42
19 540 33
19 529 41
19 458 66
19 479 28
19 520 61
