575 2201
1 373 84
1 409 48
1 290 34
1 451 31
2 375 50
2 368 36
2 463 78
2 293 25
2 303 8
2 571 62
2 521 86
3 505 37
3 381 76
3 475 81
3 443 52
3 441 4
3 456 53
3 531 77
3 406 31
3 316 56
3 298 69
3 504 5
3 349 46
3 559 78
4 338 69
4 550 1
4 330 5
4 312 51
4 563 3
5 396 57
5 473 40
5 327 96
5 348 51
5 394 58
5 319 85
5 310 6
5 571 55
6 377 10
6 459 7
6 300 75
6 568 66
6 489 75
6 501 98
7 522 15
7 306 32
7 516 31
8 408 15
8 542 58
8 380 23
8 567 51
8 523 85
8 344 99
8 391 69
8 288 11
8 413 33
8 319 79
8 548 2
8 547 56
8 533 61
8 397 49
9 435 32
9 382 27
9 337 22
9 409 51
9 433 23
9 535 90
9 307 86
9 514 18
9 414 96
9 491 46
9 356 49
10 443 44
10 569 70
10 316 56
10 312 90
11 292 93
11 304 7
11 429 31
11 380 46
11 335 38
12 337 85
12 503 46
12 310 29
12 446 52
12 356 72
12 405 40
13 343 27
13 442 40
13 379 26
13 304 6
13 484 4
13 427 98
13 544 48
13 395 58
13 413 44
13 448 39
13 522 53
14 441 47
14 319 92
14 564 42
14 321 45
14 421 97
14 419 62
14 290 76
14 524 3
15 528 41
15 397 30
15 543 13
15 392 21
15 387 39
15 556 73
15 288 71
15 481 10
15 411 23
15 377 63
16 397 85
16 502 98
16 436 69
16 489 79
16 554 82
16 426 63
16 373 46
16 464 91
16 343 90
16 552 42
16 454 50
16 432 96
16 483 13
17 470 12
17 369 51
17 348 40
17 465 60
17 315 39
17 353 5
17 456 92
17 312 88
17 390 83
17 333 52
17 412 50
18 384 31
18 447 11
18 544 14
18 489 19
18 289 87
18 358 33
18 571 33
18 332 89
18 514 25
18 459 94
18 363 58
19 570 41
19 334 84
19 402 68
20 487 10
20 361 78
20 540 98
20 348 6
20 452 72
20 493 35
20 475 52
20 515 45
20 299 18
20 522 2
21 461 70
21 516 98
21 478 14
21 333 33
22 430 5
22 513 30
22 564 75
22 305 2
22 375 46
22 351 20
22 453 49
22 361 72
22 487 49
23 531 28
23 485 5
23 561 58
23 414 9
23 470 60
23 556 71
23 526 19
23 563 54
23 400 10
23 316 56
24 351 92
24 323 29
24 467 26
24 548 94
24 316 83
25 343 12
25 296 18
25 398 97
25 391 86
25 324 93
25 414 13
25 495 48
25 489 88
25 344 20
25 345 1
26 382 84
26 424 94
26 484 19
26 466 57
26 437 94
26 557 64
27 565 20
27 530 38
27 460 29
27 340 71
27 369 1
27 510 14
27 528 26
27 366 92
27 304 73
27 363 99
27 478 48
27 384 60
28 346 42
28 449 21
28 397 5
29 377 79
29 367 36
29 495 91
29 359 89
30 501 29
30 413 23
30 498 62
30 429 79
31 552 37
31 407 79
31 477 17
31 490 39
31 342 9
31 505 76
31 558 77
31 361 99
31 305 96
31 291 16
32 463 92
32 438 73
32 534 90
32 397 96
32 420 23
32 410 83
32 442 98
32 537 91
32 340 6
32 323 13
32 550 93
32 375 65
33 348 88
33 477 47
33 329 98
33 493 96
33 463 6
33 534 58
34 446 27
34 369 67
34 347 66
34 389 42
34 473 57
34 461 59
34 452 92
