767 3048
1 737 13
1 675 83
1 410 31
1 421 40
1 649 48
1 703 20
1 668 48
1 661 78
1 730 66
1 427 34
1 385 70
1 433 2
1 544 97
1 687 78
2 664 1
2 691 81
2 624 96
2 592 23
2 418 81
2 759 78
2 538 70
2 508 50
3 651 8
3 767 91
3 515 2
3 571 87
3 580 76
3 513 15
3 463 59
3 387 33
3 436 57
4 609 23
4 513 29
4 540 44
4 740 19
4 681 96
4 437 62
4 744 76
4 665 31
4 497 16
4 580 40
4 713 78
4 436 25
4 474 77
4 719 93
4 712 57
5 449 73
5 706 4
5 752 56
5 634 82
6 583 70
6 551 10
6 574 73
6 538 75
6 649 6
6 571 63
6 481 76
6 464 39
6 600 39
6 732 61
6 765 43
6 559 33
6 462 19
6 449 34
7 719 76
7 711 47
7 539 72
7 441 54
7 477 60
8 695 5
8 659 20
9 677 21
9 563 91
9 627 65
9 495 38
9 448 92
9 524 25
9 403 31
9 569 98
9 388 45
10 729 14
10 734 73
11 415 59
11 633 77
11 647 63
11 585 47
11 664 50
11 616 54
11 715 39
11 439 55
12 641 20
12 646 23
12 729 38
12 497 70
12 762 73
12 597 7
12 576 59
12 655 91
12 542 1
12 624 46
12 683 84
12 707 20
13 392 43
13 622 51
13 737 62
13 536 49
13 591 19
13 746 8
13 579 37
13 555 14
13 436 39
13 487 46
13 541 41
13 516 93
13 679 47
13 673 70
14 660 73
14 528 42
14 462 71
14 711 29
14 542 97
14 762 18
14 690 16
15 533 6
15 718 85
15 529 97
15 574 83
15 760 22
15 500 92
15 635 31
15 489 33
15 435 33
15 646 30
15 444 52
15 625 60
15 408 94
15 615 30
15 512 9
16 737 15
17 511 14
17 588 29
17 543 42
17 571 18
17 749 26
17 467 17
17 691 74
17 398 82
17 763 44
18 739 23
18 548 3
18 744 34
18 469 18
18 642 21
18 588 71
18 585 48
19 556 66
19 586 5
19 438 38
20 766 66
20 490 65
20 638 65
20 619 96
20 432 16
20 537 6
20 428 80
20 399 6
21 741 16
21 682 88
21 635 33
22 589 52
22 729 40
22 737 65
22 446 27
23 746 57
23 504 1
23 620 56
23 711 1
23 463 90
23 481 88
23 467 11
23 539 16
23 534 40
23 411 98
23 695 89
24 565 97
24 425 15
24 456 13
24 403 59
24 544 4
24 465 93
24 494 90
24 615 91
24 643 42
24 628 50
24 719 48
24 766 33
24 492 27
25 493 12
25 751 45
25 436 11
25 626 58
25 615 93
25 767 11
25 673 71
25 607 63
25 702 68
25 716 91
26 411 63
26 540 71
26 536 92
27 386 66
27 400 14
27 472 49
27 474 55
27 560 50
27 640 26
27 562 97
27 466 26
27 428 8
27 648 66
27 626 93
28 390 57
28 502 85
28 553 39
28 622 62
28 602 48
28 465 23
28 615 76
28 741 9
28 556 68
29 553 30
29 463 88
29 731 46
29 659 78
30 522 53
30 455 23
30 489 29
30 437 28
30 722 27
30 463 30
30 751 24
30 625 49
31 678 88
31 401 12
31 589 28
31 761 76
31 699 43
31 669 87
31 392 99
31 746 23
31 756 35
31 552 1
31 667 4
31 489 79
31 532 18
32 604 2
32 714 8
32 692 72
32 562 9
33 673 15
33 615 45
33 392 15
33 511 54
33 669 3
34 423 63
34 395 78
34 706 68
35 672 71
35 519 3
35 406 28
35 644 97
35 618 70
35 711 98
35 585 78
35 643 42
35 621 44
36 654 69
36 473 74
37 474 12
37 563 85
37 759 6
37 480 36
37 757 76
37 745 86
37 653 34
37 491 29
38 668 84
38 647 66
39 471 60
39 669 51
39 658 15
39 688 56
39 707 19
39 659 13
39 453 84
39 536 9
39 468 94
39 416 85
39 644 48
39 612 50
39 682 9
40 402 71
40 454 84
40 455 72
40 520 25
40 601 64
40 583 2
41 686 25
41 715 37
42 726 74
42 433 32
42 417 34
42 437 61
42 486 24
42 642 10
42 618 9
42 527 38
42 692 68
42 530 69
42 425 34
42 694 93
43 682 2
43 534 11
43 764 51
43 403 14
43 422 41
43 390 51
43 530 86
43 499 94
43 635 33
43 459 49
43 594 83
43 634 26
43 420 61
43 726 77
44 430 34
44 520 52
44 431 5
44 751 61
44 710 69
44 395 27
45 610 59
45 624 30
45 400 86
45 433 19
45 593 80
45 566 95
45 501 94
45 688 3
45 535 75
45 493 71
45 475 27
45 499 16
45 541 15
45 754 57
45 604 7
46 386 60
46 679 33
46 569 59
46 562 84
46 474 13
46 742 16
46 591 31
46 570 4
47 684 26
47 471 48
47 480 9
48 483 99
48 442 47
48 752 75
48 712 57
48 701 34
48 692 8
48 524 99
49 757 8
50 732 34
50 765 72
50 715 25
50 691 33
50 485 33
50 542 46
50 689 56
50 568 83
51 593 19
51 723 62
51 428 22
51 455 68
51 525 12
51 600 5
51 658 70
52 417 73
52 597 19
52 751 45
52 676 77
52 478 56
52 404 12
52 515 29
52 436 26
52 435 60
52 491 70
53 607 72
53 446 96
53 464 48
53 561 28
53 397 18
53 498 38
53 605 20
54 527 16
54 434 8
54 489 23
54 411 34
54 528 36
54 500 1
54 694 27
54 655 38
55 438 56
55 754 32
55 611 13
55 495 42
55 427 4
55 440 80
55 490 97
55 557 94
55 389 76
56 637 2
56 744 39
56 583 88
56 639 30
56 434 44
56 435 95
56 517 6
56 728 47
56 481 65
56 513 62
56 546 60
57 725 49
57 687 9
58 514 56
58 585 1
59 569 24
59 606 3
59 560 52
59 552 5
59 517 82
59 683 37
59 765 38
59 448 19
59 648 19
59 444 39
59 564 1
59 390 80
59 741 16
60 391 83
61 735 57
61 588 89
61 711 75
61 562 2
61 439 72
61 744 26
61 394 79
61 539 50
61 596 89
62 437 72
62 406 12
62 412 18
62 691 87
62 459 70
62 680 38
63 563 66
63 755 88
63 551 48
63 480 75
63 469 12
63 611 19
63 667 1
63 642 29
63 753 92
63 555 13
64 548 40
64 475 64
64 539 21
65 408 69
65 499 91
65 720 44
65 600 16
65 570 89
65 407 63
65 640 9
66 595 72
66 405 85
66 723 47
66 759 37
66 629 30
66 742 22
66 420 74
66 724 14
66 753 79
67 535 92
67 562 64
67 399 50
67 608 67
67 513 80
67 650 53
67 744 50
67 428 52
67 688 5
67 453 5
67 573 65
68 758 56
68 505 61
68 754 82
68 663 89
68 766 33
68 680 62
68 739 59
68 626 80
68 494 98
68 599 29
68 691 96
68 546 28
68 723 24
69 513 62
69 619 66
69 422 80
70 717 41
70 598 12
70 472 46
70 664 89
70 707 44
70 745 87
70 526 50
70 568 1
