20 173
0 1 9
1 2 11
2 3 17
3 4 17
4 5 17
1 6 7
2 7 20
3 8 13
1 9 15
6 10 11
7 11 3
1 12 4
9 13 1
9 14 13
6 15 16
2 16 19
13 17 15
15 18 16
13 19 15
14 1 14
19 2 11
2 17 4
11 12 12
1 8 20
18 16 17
2 9 11
0 2 19
0 9 7
17 9 15
1 16 10
19 15 20
3 10 19
11 13 6
5 8 5
11 15 3
6 17 9
7 18 6
3 19 5
7 0 11
3 6 14
19 3 8
5 7 2
0 7 17
14 3 16
7 8 2
7 19 16
6 13 10
12 16 16
16 9 3
7 15 3
11 10 13
10 0 2
4 11 9
4 16 4
1 5 2
7 14 15
8 3 12
1 17 1
14 10 16
6 1 4
15 5 15
17 3 19
1 18 12
15 6 15
5 19 18
11 6 12
1 14 13
5 14 15
0 12 5
19 1 15
3 2 19
11 19 7
6 3 13
4 19 7
8 15 6
16 10 16
9 3 13
18 19 16
17 0 18
15 9 3
10 3 11
9 10 1
17 14 3
13 4 17
13 6 10
6 4 18
18 5 14
3 17 9
11 16 14
1 4 14
2 14 10
15 2 19
15 10 18
7 17 20
13 3 15
13 9 15
10 1 16
17 7 8
4 7 6
17 10 11
13 5 1
10 7 9
19 4 3
12 4 1
3 7 20
10 5 19
16 2 15
15 17 4
5 10 7
10 12 4
10 16 16
19 12 6
18 11 18
17 1 1
18 15 16
8 19 9
2 1 4
18 1 17
7 12 9
6 16 4
8 5 13
15 1 15
2 11 18
12 8 15
16 4 18
12 6 1
18 2 20
6 0 10
5 1 5
7 3 8
6 12 4
12 11 19
11 5 10
18 0 18
14 13 8
16 15 16
10 14 9
16 11 16
19 0 3
15 7 8
5 11 15
3 1 2
10 6 6
5 6 19
7 4 18
16 13 10
0 4 10
9 19 4
13 8 18
14 0 1
6 5 16
15 16 6
12 7 9
15 14 11
12 10 7
19 11 13
12 9 11
4 17 1
14 5 7
8 17 1
17 2 7
0 15 19
10 13 17
16 12 6
11 7 17
6 9 14
9 1 4
15 8 1
17 18 8
17 15 9
14 19 4
14 7 3
13 1 3
4
