33;3;206
14;0;962
32;2;929
9;25;451
42;1;748
49;38;90
3;48;336
9;23;125
43;21;288
5;39;321
19;5;889
47;23;874
13;32;857
17;40;717
9;40;361
22;32;239
47;38;854
20;29;371
14;24;608
4;20;584
33;27;251
30;40;409
28;45;553
43;35;122
11;36;161
30;0;659
38;21;784
2;7;21
23;48;505
25;32;990
13;9;227
13;33;257
23;28;3
47;44;730
34;4;65
36;9;871
10;33;485
47;15;986
40;31;388
11;7;835
45;2;264
28;30;517
44;47;61
45;7;426
32;40;549
2;18;72
47;36;786
31;15;976
25;15;879
12;23;43
43;11;433
8;2;836
23;6;476
27;41;226
40;15;520
2;14;505
21;37;261
15;13;409
2;13;737
14;2;292
31;32;487
0;1;915
49;24;765
35;29;242
29;20;895
28;41;2
22;22;25
18;40;726
39;27;961
1;5;776
4;8;64
9;45;184
36;39;271
30;3;802
36;36;159
0;36;866
25;24;447
36;41;610
13;13;852
38;11;483
47;48;373
49;30;408
8;20;497
35;41;31
36;42;383
11;31;78
28;38;831
4;25;628
16;18;349
22;45;647
16;48;555
39;32;95
37;42;308
20;0;979
11;2;629
38;9;475
32;42;460
37;32;251
2;36;496
42;19;842
23;47;201
14;39;883
48;40;921
26;36;708
47;45;358
18;11;870
0;27;786
4;6;792
31;34;92
43;34;117
40;25;422
41;47;63
38;46;254
37;40;376
27;6;132
37;39;747
44;34;499
31;41;822
2;19;808
20;32;108
39;5;126
40;35;208
14;6;970
14;29;286
30;13;749
20;26;8
33;44;898
17;48;2
30;9;686
29;38;548
12;18;286
7;47;702
12;37;417
46;23;651
38;29;99
10;0;561
3;32;867
40;37;771
10;22;138
6;9;524
26;34;366
21;2;222
0;23;317
2;8;777
29;36;417
12;28;371
45;20;179
6;26;123
34;22;622
25;46;507
28;6;563
44;20;778
14;17;556
43;10;537
12;1;485
4;10;12
17;19;162
30;24;535
40;24;37
10;34;335
31;48;213
40;1;193
32;44;500
31;29;243
30;8;975
31;39;902
30;2;612
48;13;727
0;21;545
22;43;514
33;35;999
33;47;197
29;35;517
33;30;153
17;49;326
27;9;682
6;21;149
16;1;918
29;42;749
23;31;446
47;9;713
36;46;445
48;47;848
35;9;844
24;47;439
22;31;287
20;22;250
43;15;445
18;17;693
4;3;104
22;6;65
3;35;415
21;30;57
44;29;227
