18;10;941
9;44;422
46;9;498
21;14;488
3;41;247
33;11;144
39;39;562
25;32;118
3;38;863
19;46;944
15;12;953
45;7;452
29;27;231
43;12;572
4;21;784
49;0;321
29;34;68
29;49;914
23;43;572
41;5;138
27;27;262
27;5;40
26;7;677
39;4;680
45;46;549
49;21;210
16;3;758
27;39;233
43;36;266
1;22;294
44;38;436
4;15;689
15;26;328
37;23;851
32;40;614
19;34;71
18;23;444
18;24;34
18;0;764
1;33;387
38;24;696
19;45;308
12;41;615
42;34;886
44;29;612
45;44;982
30;24;40
9;33;982
42;25;283
20;35;290
46;14;856
47;48;968
7;12;889
15;7;860
22;25;793
27;24;900
21;23;117
39;20;189
17;28;821
35;26;397
1;42;108
16;46;400
1;47;620
32;37;640
8;36;168
9;14;37
19;49;240
8;7;869
33;29;391
7;22;724
24;14;301
37;6;571
19;26;540
14;38;721
23;34;101
42;8;839
32;26;244
17;32;860
43;7;791
26;18;346
11;24;311
45;30;31
2;21;608
29;39;763
24;5;205
25;34;455
38;41;426
24;6;638
22;44;979
39;43;166
9;2;281
20;28;88
3;39;743
11;2;728
24;43;541
32;17;454
16;38;537
46;33;2
19;21;469
19;30;540
31;40;933
29;15;50
46;5;137
18;34;29
34;15;438
9;0;270
4;39;537
26;22;102
31;13;374
13;0;126
30;33;194
10;30;240
39;44;560
24;36;240
15;48;63
25;11;358
28;10;434
0;5;373
41;48;30
33;32;91
0;37;21
41;24;717
9;19;119
35;30;55
14;10;475
1;6;37
0;35;814
34;20;384
18;9;500
43;48;912
26;40;88
7;15;221
2;33;757
32;18;808
15;24;689
38;35;893
44;39;848
49;33;927
13;15;329
31;22;281
10;16;431
10;8;790
48;7;903
12;49;448
13;18;350
0;18;929
34;30;493
30;48;171
3;26;155
8;43;986
44;20;213
23;21;35
18;5;313
49;32;797
28;13;942
19;47;848
39;30;363
13;7;639
45;18;590
11;40;950
15;31;269
30;39;814
46;30;324
18;33;824
43;29;601
2;24;464
33;5;965
33;13;991
14;3;282
16;13;643
33;39;146
1;44;479
40;38;224
33;43;870
6;43;115
6;32;511
15;47;534
41;32;542
2;8;499
45;26;321
47;18;710
15;16;834
40;31;230
24;42;496
38;30;201
20;4;293
39;9;618
6;18;839
30;10;205
22;49;720
49;45;232
