41;21;240
15;42;68
24;6;225
23;3;196
9;4;875
13;18;587
37;44;888
37;12;70
38;20;248
1;0;7
11;26;859
1;1;885
10;3;504
31;30;928
43;49;59
43;43;615
26;8;252
23;6;689
16;4;171
8;26;425
41;22;120
10;11;544
16;8;64
49;3;304
4;6;294
47;43;275
0;45;543
31;24;848
37;38;391
8;34;939
35;1;535
3;40;145
40;33;751
25;26;701
27;27;109
47;19;3
19;18;224
44;8;613
44;9;971
13;23;472
7;8;487
6;13;29
38;0;322
7;7;205
26;24;380
42;4;936
36;40;374
19;38;308
35;40;874
46;9;618
10;21;274
3;8;383
34;12;227
0;18;665
11;2;106
1;26;654
4;38;393
8;20;456
7;42;807
35;48;614
0;12;134
0;31;656
33;33;630
49;35;527
4;34;447
10;34;155
25;6;6
27;9;597
48;1;17
40;46;331
28;48;273
30;0;129
26;10;414
22;18;871
1;5;58
43;4;713
0;47;158
32;9;836
30;23;64
26;2;593
31;42;735
14;20;729
12;23;683
15;33;473
37;3;766
6;25;73
26;5;935
15;40;980
8;46;787
21;0;551
3;49;172
41;40;528
6;36;693
16;30;630
1;34;266
34;45;127
3;23;941
49;49;939
32;16;35
37;6;492
47;40;464
6;12;685
15;45;253
11;49;793
18;10;493
15;13;119
35;24;11
33;18;528
30;3;996
11;8;476
24;19;601
10;19;794
8;44;437
29;19;993
43;41;478
7;30;784
22;17;61
45;2;636
24;14;450
46;26;181
34;3;755
38;37;617
9;8;827
34;6;377
0;39;535
2;23;461
10;39;810
20;28;339
48;35;105
17;11;375
12;44;315
11;4;88
43;47;434
47;37;215
34;11;908
26;23;494
45;44;61
35;23;284
47;18;167
13;11;459
36;17;908
0;21;240
39;38;691
22;9;505
1;12;36
29;36;342
21;21;253
30;21;344
15;26;417
1;14;734
46;29;729
48;11;396
15;34;810
33;37;688
40;23;697
27;34;222
12;17;630
41;42;793
10;5;924
28;34;887
41;37;484
47;26;605
38;2;20
31;14;51
26;38;692
28;40;961
32;37;845
9;39;945
5;4;736
46;38;123
23;37;994
46;42;983
10;42;940
10;30;58
28;14;86
5;32;305
48;45;927
2;31;975
26;42;432
43;42;285
2;30;915
35;18;961
1;27;980
10;49;175
44;26;801
32;41;127
40;25;822
3;44;218
0;33;993
25;11;938
17;15;440
8;19;281
17;47;365
47;41;635
