20 79
0 1 19
1 2 20
1 3 1
1 4 8
1 5 12
0 6 2
5 7 3
2 8 17
8 9 7
1 10 9
8 11 16
5 12 2
6 13 15
12 14 3
7 15 12
10 16 2
6 17 15
16 18 12
19 7 8
10 11 1
3 14 5
19 13 3
7 14 2
5 16 5
13 3 16
0 3 8
12 17 4
6 11 16
13 18 8
8 10 10
15 16 2
15 2 9
14 7 8
17 2 8
11 6 2
9 2 9
16 8 9
12 13 17
8 6 1
0 8 17
19 3 9
19 17 15
16 15 2
15 4 19
3 8 9
5 4 7
15 7 7
10 12 7
2 3 4
15 1 19
1 8 17
7 12 17
3 4 6
10 2 6
5 1 17
11 18 15
13 0 8
8 15 8
1 18 8
4 3 4
3 10 13
13 12 5
14 18 6
2 18 8
11 13 9
17 15 14
14 17 10
18 0 12
5 11 11
11 4 2
10 14 8
6 1 16
14 3 12
17 19 2
3 9 9
2 11 11
16 11 12
10 3 10
14 8 4
3
