20 125
0 1 1
1 2 7
2 3 8
1 4 2
0 5 4
5 6 11
2 7 16
2 8 4
1 9 18
0 10 17
4 11 14
3 12 3
5 13 1
12 14 20
12 15 7
5 16 6
9 17 14
3 18 3
8 19 6
7 12 20
6 12 5
15 11 13
6 8 1
8 6 17
19 4 18
9 3 17
10 18 7
3 7 2
6 9 12
6 2 1
3 14 20
14 17 14
0 12 7
13 12 18
4 0 18
2 10 17
0 16 7
6 16 16
11 13 19
2 9 17
12 18 13
16 5 9
7 18 9
11 5 19
12 2 12
11 10 2
14 5 13
11 8 13
19 10 12
17 3 10
2 14 2
2 6 10
19 12 1
1 13 17
12 11 1
4 9 7
14 16 5
7 15 8
2 11 20
17 1 12
8 11 5
13 17 10
5 7 17
4 1 1
19 16 4
16 15 8
1 8 14
14 0 20
2 1 18
9 16 8
9 8 3
10 0 12
1 11 13
0 2 15
16 9 13
15 3 12
9 13 14
5 17 4
13 11 3
11 17 7
8 0 17
14 15 4
16 17 5
12 3 9
13 0 1
19 0 19
0 11 2
4 2 11
15 8 19
14 4 18
15 0 3
7 14 12
3 1 9
16 18 11
3 15 11
12 8 4
6 4 2
0 7 20
18 16 16
14 1 13
2 5 9
4 3 15
16 4 4
15 16 8
9 7 6
18 4 9
15 4 10
7 16 19
14 11 8
13 10 8
14 7 2
18 11 15
8 2 19
17 2 8
6 14 14
10 14 9
13 7 18
8 5 14
16 19 17
3 4 19
12 5 9
9 5 17
1 19 15
1 10 14
15 6 14
16
