19 106
0 1 8
0 2 19
1 3 10
0 4 18
0 5 9
0 6 13
0 7 14
2 8 4
6 9 17
9 10 14
2 11 11
4 12 17
4 13 11
11 14 8
8 15 4
8 16 12
15 17 1
2 18 12
1 16 12
3 9 14
16 8 18
17 5 16
3 2 8
9 11 2
9 12 8
9 5 19
8 1 8
16 15 12
1 18 16
14 17 19
6 13 5
8 10 10
6 16 1
1 2 8
3 15 5
11 9 10
9 6 9
13 6 7
13 15 11
16 3 20
13 7 18
7 17 18
2 3 17
15 9 1
0 18 18
9 15 9
1 6 7
2 9 18
2 4 13
7 9 20
8 13 12
15 14 6
15 12 17
15 2 19
11 15 11
9 8 7
7 11 18
8 12 3
15 1 9
11 17 17
10 5 7
14 15 3
14 9 13
11 3 5
18 15 20
18 2 19
12 9 8
10 4 6
14 10 7
9 14 4
6 8 14
10 8 19
14 4 3
13 3 6
8 9 3
18 5 16
10 11 1
7 5 9
12 7 1
15 8 10
17 6 19
3 14 16
18 14 2
3 4 2
6 4 8
7 10 6
7 0 6
6 1 11
1 8 1
7 1 10
7 2 8
2 0 18
5 18 9
14 6 6
13 12 8
16 18 1
10 15 9
0 8 17
9 17 10
2 12 7
7 8 13
0 15 18
5 6 11
10 9 7
6 3 9
3 16 14
1
