14 74
0 1 9
0 2 19
0 3 16
0 4 3
0 5 11
4 6 15
5 7 14
7 8 9
7 9 7
3 10 11
1 11 4
11 12 4
2 13 4
7 5 16
11 1 5
12 6 11
4 10 20
13 9 19
3 2 11
6 1 20
7 1 17
3 0 10
4 7 6
6 2 13
9 12 17
4 12 14
3 1 18
10 5 17
2 10 4
12 3 15
7 2 17
12 13 17
8 9 10
0 8 1
12 7 1
4 2 6
3 11 10
11 8 7
9 1 14
2 3 2
1 3 7
11 7 14
9 0 8
6 4 15
9 13 13
2 7 10
3 8 19
1 8 14
5 12 16
4 3 2
1 2 15
1 10 20
10 7 15
10 13 11
13 5 17
1 6 19
7 13 11
1 7 2
2 8 2
3 6 10
9 7 7
13 7 7
9 8 19
10 1 13
2 1 5
13 11 14
7 12 15
6 11 17
10 12 18
8 3 10
0 6 7
13 0 16
4 13 5
6 8 13
10
