18 133
0 1 13
1 2 8
2 3 10
0 4 14
2 5 1
4 6 5
6 7 7
2 8 17
2 9 8
6 10 19
1 11 6
5 12 3
6 13 1
8 14 8
14 15 20
10 16 8
5 17 13
3 7 10
0 5 18
8 3 6
12 10 14
5 11 4
13 4 14
7 2 12
7 16 9
7 9 8
7 4 9
8 0 3
12 13 10
3 6 4
5 13 2
0 10 6
17 9 3
11 10 2
9 1 8
15 0 15
16 14 18
1 10 18
17 7 20
14 8 5
1 3 9
2 16 3
14 4 6
1 12 18
13 16 7
0 3 12
16 2 18
16 3 4
3 8 16
5 10 6
3 13 6
2 12 4
10 5 5
8 7 8
0 16 3
0 8 3
0 9 1
0 12 15
5 9 14
1 5 15
17 4 10
0 13 7
16 12 20
17 12 16
10 0 17
8 9 4
11 14 3
12 1 17
13 7 11
8 4 12
9 3 7
3 1 7
10 2 4
8 16 9
10 13 4
3 4 18
0 17 12
14 7 17
3 2 4
11 5 9
8 2 18
3 15 15
15 3 10
11 13 5
13 5 14
9 2 8
15 2 16
16 0 18
11 4 16
13 11 6
4 13 5
12 15 9
13 17 17
1 13 15
0 14 12
16 5 11
15 16 9
14 1 19
9 4 18
4 15 12
15 17 17
4 17 5
14 17 7
6 17 12
9 12 4
16 4 13
15 6 13
17 6 17
1 7 8
14 13 1
12 11 4
12 4 2
7 12 1
4 10 14
6 16 9
9 17 15
5 1 2
3 10 7
13 6 17
5 6 7
1 0 13
15 8 17
6 11 18
4 1 8
11 9 5
16 8 14
11 16 8
5 8 12
4 0 7
13 12 7
6 9 17
16 10 17
9 14 9
9
