19 116
0 2 16
0 3 18
1 4 13
0 5 19
0 6 4
4 7 14
7 8 12
2 9 7
9 10 9
9 11 13
10 12 4
6 13 14
13 14 13
9 15 16
14 16 16
14 17 9
10 18 12
6 1 16
18 4 7
6 12 8
11 2 20
2 8 9
15 3 13
7 17 14
13 1 1
11 7 14
11 4 7
5 7 15
12 0 7
9 8 20
6 7 16
6 3 1
2 14 6
8 17 18
4 12 6
8 1 16
15 16 17
8 11 10
3 18 3
4 17 19
11 1 8
16 3 19
7 13 6
15 17 12
14 9 2
1 0 4
18 13 1
11 16 1
11 3 1
15 9 19
10 3 1
10 0 9
11 14 4
16 18 16
18 8 1
0 18 18
11 12 19
8 2 3
11 9 11
2 5 5
17 3 3
13 11 14
16 13 9
13 0 15
8 4 4
15 11 9
11 5 7
9 12 5
13 3 12
18 17 2
4 2 16
16 7 7
4 9 20
9 13 17
13 15 12
0 15 14
8 13 16
13 17 12
7 6 2
2 6 10
12 7 7
4 18 10
7 10 10
12 10 5
12 9 10
5 0 14
8 14 11
18 7 14
15 13 11
10 7 10
7 2 12
17 5 1
15 2 12
17 10 12
0 8 9
16 0 5
4 16 17
2 17 10
10 11 15
2 10 12
2 12 16
16 2 18
3 14 13
3 5 18
17 8 17
17 1 16
10 1 2
6 2 4
18 3 10
5 11 8
15 10 19
3 17 16
0 7 11
16 4 6
5 16 7
8 12 10
5
