16 73
0 1 2
1 2 9
0 3 8
3 4 3
3 5 7
0 6 16
3 7 9
1 8 2
8 9 1
3 10 7
10 11 9
7 12 6
3 13 11
7 14 13
7 15 2
15 2 4
1 6 7
4 6 13
8 10 6
7 5 16
15 12 12
11 10 1
11 7 10
2 13 14
3 8 13
5 2 4
6 3 20
7 0 7
10 7 5
5 10 15
2 5 11
4 3 16
1 7 8
12 9 3
15 3 16
15 5 16
8 14 18
12 2 6
5 13 13
13 5 16
14 11 20
0 11 1
10 12 6
0 12 3
8 1 1
4 15 12
13 11 6
0 10 18
6 15 9
15 4 9
13 10 2
8 3 20
7 6 16
1 12 18
15 11 3
9 7 19
12 5 20
2 10 16
13 8 20
1 15 15
10 14 11
10 6 4
2 15 11
14 12 13
13 6 7
3 14 19
7 3 16
8 2 4
10 13 4
5 12 8
14 6 18
1 13 18
9 15 13
7
