20 59
0 1 8
0 2 6
0 3 3
2 4 17
3 5 12
2 6 14
1 7 18
1 8 19
0 9 2
4 11 19
2 12 7
0 13 6
0 14 10
2 15 1
6 16 7
3 17 9
5 18 13
11 19 11
18 14 13
18 1 12
11 3 10
6 19 11
13 6 14
4 8 12
12 10 11
16 9 18
9 13 20
4 9 1
18 16 3
2 5 12
5 4 1
9 10 15
12 11 6
0 19 3
18 9 20
5 19 3
9 8 15
19 13 15
5 0 19
13 12 6
4 1 15
8 4 12
18 19 15
10 18 19
1 15 11
15 8 11
0 4 14
10 19 5
3 16 12
0 16 3
14 13 2
15 10 7
16 19 10
7 0 20
7 13 10
11 7 20
3 0 20
14 0 4
17 5 14
19
