14 76
0 1 3
1 2 16
0 3 9
4 5 12
5 6 4
4 7 2
7 8 9
8 9 12
3 10 15
7 11 13
6 12 13
11 13 4
6 4 18
13 11 17
3 7 9
5 13 5
2 1 15
10 1 6
0 2 3
7 1 3
8 10 10
9 12 5
2 3 6
1 5 2
2 5 8
9 3 18
7 0 12
9 6 11
12 1 10
5 8 3
13 1 6
12 0 2
10 6 10
11 0 13
13 10 5
13 2 20
0 7 5
0 8 19
0 10 19
4 2 14
13 7 1
13 6 12
10 3 19
8 3 12
1 9 3
1 12 4
3 12 13
4 12 17
6 9 2
9 10 4
13 4 9
3 0 12
6 0 1
8 0 1
2 11 19
9 0 6
3 13 17
13 5 9
0 13 13
4 0 14
12 2 6
5 2 15
5 9 1
11 8 5
4 11 1
11 5 15
5 0 2
8 13 9
10 7 3
9 13 3
3 4 4
11 10 2
9 8 5
4 6 6
7 12 19
2 13 8
2
