15 71
0 1 8
1 2 1
2 3 20
0 4 19
2 5 11
3 6 10
2 7 2
7 8 19
5 9 16
5 10 6
1 11 1
4 12 16
12 13 8
6 14 5
6 4 1
9 0 16
13 8 14
7 2 10
6 5 19
14 3 2
0 10 17
5 14 4
13 10 8
9 13 6
13 2 3
12 11 6
11 5 1
4 6 18
1 7 13
9 8 1
5 7 10
11 0 12
1 12 1
2 9 3
11 2 20
0 3 5
14 13 14
9 7 15
5 8 2
3 12 14
14 5 20
7 11 17
13 3 9
6 0 2
12 7 13
4 7 20
7 3 19
3 4 6
0 9 15
12 1 4
3 5 4
6 7 5
11 7 4
4 5 17
2 8 16
12 4 7
0 8 12
13 1 5
9 2 5
6 11 12
1 13 8
2 14 9
2 6 14
9 6 4
8 3 13
1 9 14
1 5 5
2 12 3
9 12 8
0 5 7
8 12 20
6
